name,review_count,categories,rating,price,zip_code,street
Pedra Alta,15,seafood,4.5,3.0,75004, boulevard Beaumarchais
Bistrot Cézanne,4,bistros,4.5,2.0,75008, avenue Myron Herrick
Grand Cœur,27,french,4.0,3.0,75004, rue du Temple
Paris Polska,9,polish,4.0,,75020, Rue Vignoles
Ferdi,125,french,4.0,3.0,75001, rue du Mont Thabor
Zia Paris,74,cafes,4.5,2.0,75007, avenue de Tourville
Les Fauves,15,french,4.5,3.0,75014, boulevard Edgar Quinet
Street Bangkok,7,thai,4.5,,75002, rue Saint-Denis
Fermier Gourmet,31,french,4.5,2.0,75003, rue du Temple
L'Avant Comptoir du Marché,11,tapas,4.5,2.0,75006, rue Lobineau
Square Gardette,16,french,4.0,3.0,75011, Rue St Ambroise
La Verrière Paris,5,french,4.5,3.0,75014, rue Niépce
Le Pergolèse,47,french,4.5,2.0,75016, rue Pergolèse
Ô Niam,1,panasian,5.0,,75001, rue du Cygne
Au Petit Pot,5,bistros,4.0,2.0,75019, rue Eugène Jumin
Le Hide,210,french,4.5,3.0,75017, Rue Gén Lanrezac
Echo,7,breakfast_brunch,5.0,,75002, rue d'Aboukir
Yam'Tcha,18,french,4.5,4.0,75001, rue Saint-Honoré
Nuance Café,9,cafes,4.5,,75005, rue Linné
Au Dernier Métro,168,french,4.0,2.0,75015, boulevard de Grenelle
La Cave de l'Insolite,28,beer_and_wine,4.5,3.0,75011, rue de la Folie Méricourt
Pierre Sang,147,french,4.5,3.0,75011, rue Oberkampf
Au Boeuf Couronné,98,french,4.0,3.0,75019, avenue Jean Jaurès
Arthur et Juliette,12,brasseries,4.0,2.0,75015, rue des Morillons
Blaise et Basile,11,bistros,4.0,2.0,75020, place Saint-Blaise
Les Arènes,2,brasseries,4.5,2.0,75005, rue Linné
Beckett,2,bistros,5.0,3.0,75009, rue Godot de Mauroy
Ma Salle à Manger,61,sud_ouest,4.0,2.0,75001, place Dauphine
Le Saint Placide,45,french,4.0,2.0,75006, rue de Rennes
Dominique Bouchet,25,french,4.5,2.0,75008, Rue Treilhard
Tradi,8,bistros,5.0,3.0,75002, rue du Mail
Lapérouse,3,french,4.0,,75006, quai des Grands Augustins
Le Mary Céleste,134,tapasmallplates,4.0,2.0,75003, rue Commines
L'Abreuvoir,3,french,4.0,,75015, rue du Docteur Finlay
Au Bouquet Saint-Paul,58,brasseries,4.0,2.0,75004, rue Saint-Antoine
D'Chez Eux,45,french,4.5,4.0,75007, ave de Lowendal
Makoto Aoki,28,french,4.5,3.0,75008, rue Jean Mermoz
Café du Trocadéro,112,french,3.0,3.0,75116, place Trocadéro et  Novembre
Essaouira,46,moroccan,4.5,2.0,75116, rue de Magdebourg
Shabestan,5,persian,5.0,,75008, rue du Commandant Rivière
Restaurant Pierre Gagnaire,97,french,4.0,4.0,75008, rue Balzac
Chez Georges,23,creperies,4.5,,75003, place de la République
Restaurant Véro-Dodat,6,french,4.5,2.0,75001, Galerie Véro-Dodat
Le Parisien,16,cafes,4.0,2.0,75003, rue Saint-Martin
Les Fêtes Galantes,25,french,4.0,2.0,75005, rue Ecole Polytechnique
Bob's Bake Shop,40,desserts,4.5,2.0,75018,Halle Pajol
Port Louis Paris,4,bistros,5.0,2.0,75012, rue Claude Tillier
Le Cambodge,148,cambodian,4.0,2.0,75010, avenue Richerand
Restaurant de la Tour,48,french,5.0,3.0,75015, Rue Desaix
Fermier Gourmet,3,french,5.0,,75005, boulevard Saint-Germain
LOCO,12,argentine,4.5,,75009, rue du Faubourg Montmartre
African Kitchen,12,african,4.0,,75011, rue Saint-Maur
Bistro V,15,bistros,5.0,,75005, bd de Port-Royal
Café Beaujolais,114,french,3.5,2.0,75015, avenue de Suffren
Le Commerce,33,brasseries,3.5,2.0,75015, rue Commerce
L'Ami Jean,225,french,4.0,4.0,75007, rue Malar
Canard Street,5,sud_ouest,5.0,,75002, rue des Petits Champs
Les Routiers,30,french,4.5,2.0,75018,  rue Marx Dormoy
Fulgurances l'Adresse,16,french,4.5,4.0,75011, rue Alexandre Dumas
Café des Deux Moulins,176,brasseries,3.0,2.0,75018, rue Lepic
Le P'tit Gavroche,13,french,4.0,2.0,75015, rue Blomet
Chez Michel,88,french,4.0,3.0,75010, rue de Belzunce
Le Poulbot,48,french,4.5,2.0,75018, rue Poulbot
Chez Papa Jazz Club,43,jazzandblues,4.5,3.0,75006, rue Saint-Benoît
Le Ruisseau,43,burgers,4.5,2.0,75018, rue du Ruisseau
El Juanchito,30,latin,4.0,2.0,75011, Rue De La Folie Regnault
Freddy's BBQ,5,bbq,5.0,,75004, rue Saint-Denis
Le Bistro Marbeuf,98,french,4.0,2.0,75008, rue Marbeuf
Restaurant du Palais Royal,3,french,5.0,4.0,75001, galerie de Valois
Jozi Café,14,coffee,5.0,1.0,75005, rue Valette
Le Centenaire,35,french,4.0,2.0,75011, rue Amelot
Gambino,208,italian,4.5,2.0,75001, rue Gomboust
